OverallQual,YearBuilt,GrLivArea,SalePrice
6,1960,1656,215000
5,1961,896,105000
6,1958,1329,172000
7,1968,2110,244000
5,1997,1629,189900
6,1998,1604,195500
8,2001,1338,213500
8,1992,1280,191500
8,1995,1616,236500
7,1999,1804,189000
6,1993,1655,175900
6,1992,1187,185000
6,1998,1465,180400
7,1990,1341,171500
8,1985,1502,212000
8,2003,3279,538000
8,1988,1752,164000
9,2010,1856,394432
4,1951,864,141000
6,1978,2073,210000
6,1977,1844,190000
7,1974,1173,170000
7,2000,1674,216000
6,1970,1004,149000
5,1971,1078,149900
5,1968,1056,142000
4,1970,882,126000
4,1971,864,115000
7,1999,1337,184000
6,1971,987,96000
5,1971,1092,105500
6,1971,1092,88000
6,1977,1069,127500
6,1975,1456,149900
7,1975,836,120000
6,1978,1456,146000
9,2009,2334,376162
8,2007,1704,306000
9,2009,1940,395192
8,2009,1544,290941
7,2005,1541,220000
9,2005,1698,275000
8,2005,1822,259000
7,2004,1535,214000
9,2009,2364,611657
7,2009,1358,224000
9,2003,2696,500000
8,2002,2250,320000
9,2005,1752,319900
8,2006,1370,205000
7,2003,1626,175500
6,2005,1324,199500
7,2006,1145,160000
8,2004,1269,192000
7,2004,1374,184500
6,2002,1960,216500
7,2004,1733,185088
7,2000,1430,180000
7,2001,2035,222500
9,1999,2599,333168
8,1998,2475,355000
7,1996,1720,260400
8,1994,2622,325000
8,1999,2270,290000
7,1998,1839,221000
8,1995,3238,410000
8,2005,1595,221500
7,2009,1218,204500
7,2009,1547,215200
8,2008,1566,262500
7,2004,1947,254900
6,2005,1468,271500
7,2004,2084,233000
7,2004,1659,181000
7,1994,2110,205000
6,1980,923,143000
6,1992,1845,189000
6,1979,918,99500
6,1984,752,125000
7,1993,1744,194500
6,1984,1097,152000
6,1980,1564,171000
5,1920,1012,67500
6,1978,1902,112000
5,1961,1155,148000
5,1965,894,138500
5,1967,900,122000
5,1963,1040,133000
5,1962,1040,127000
6,1974,1494,169000
7,1992,1923,190000
8,1993,2349,362500
8,1992,2225,285000
7,2004,1488,260000
7,2004,1680,190000
7,2004,1200,155000
7,2004,1200,151000
7,2004,1200,149500
6,2005,1236,152000
7,2009,1478,222000
6,2000,1573,177500
6,2000,1512,177000
7,1999,1416,155000
7,2003,1080,147110
8,2010,1418,267916
8,2000,1848,254000
8,1980,788,155000
8,1978,1226,206000
6,1976,1479,130500
7,2002,1492,230000
6,1967,1829,218500
6,1993,2495,243500
6,1977,1610,205000
6,1978,1891,212500
7,1988,1714,196500
6,1972,1381,197500
6,1971,1645,171000
5,1966,1232,142250
6,1963,1328,143000
4,1959,1225,128950
5,1966,1209,159000
5,1967,1510,178900
6,1964,1775,136300
5,1964,1152,180500
6,1963,1054,137500
5,1962,1728,84900
5,1950,1078,142125
5,1952,2461,197600
6,1949,1556,172500
5,1958,858,116500
3,1940,1306,76500
5,1954,1063,128000
6,1955,1520,153000
5,1954,1268,132000
6,1966,1128,178000
5,1960,2274,154300
7,1970,2207,180000
6,1966,1888,190000
5,1958,1604,135000
7,2003,1480,214000
5,1959,1143,136000
5,1959,1700,165500
5,1957,1314,145000
6,1959,1194,148000
5,1959,1188,142000
5,1960,1264,167500
5,1959,1206,108538
6,1959,1580,159500
4,1956,1337,108000
5,1952,1064,135000
5,1955,972,122500
5,1958,988,119000
5,1953,1057,109000
4,1920,985,105000
5,1955,827,107500
5,1954,1086,144900
5,1956,936,129000
6,1948,1458,97500
6,1980,1056,144000
5,1959,1287,162000
7,1967,2978,242000
6,1948,1224,132000
5,1959,1246,154000
5,1952,1385,166000
5,1951,900,134800
6,1962,1116,160000
5,1960,1175,148000
6,1963,1395,192000
6,1966,1839,155000
4,1900,1844,80400
4,1910,1140,96500
5,1920,936,109500
5,1927,1028,115000
5,1957,1347,143000
3,1915,1605,107400
4,1945,747,80000
5,1940,804,119000
5,1929,1316,130000
6,1938,1251,119000
5,1948,1633,129000
5,1920,1245,100000
2,1923,832,12789
6,1928,720,105900
8,1900,1566,150000
5,1915,1652,139000
8,1890,2268,240000
5,1910,2256,76500
6,1957,1236,149700
4,1910,1363,125500
4,1885,2290,122500
6,1922,1470,140750
5,1950,1612,128500
7,1922,2068,209500
4,1925,765,87000
6,1939,1132,134000
6,1940,1196,128000
5,1942,1453,132000
6,1948,1416,139900
5,1936,1040,123900
5,1930,1536,138400
6,1923,1068,109500
7,1921,1710,140000
4,1915,1962,149500
6,1912,1560,159900
6,1920,1324,122000
5,1963,816,110000
4,1930,1092,55000
5,1900,1812,140000
7,1940,2403,244400
5,1959,1675,173000
5,1917,1224,107500
5,1915,1392,100000
6,1940,919,95000
4,1907,1884,93369
5,1910,1680,114900
5,1875,1020,94000
4,1967,1832,136000
4,1968,1768,136500
5,1965,1039,131500
5,1957,1392,121500
5,1967,912,125000
5,1968,1060,154000
5,1966,892,137900
6,1969,1352,158000
5,1968,864,137250
5,1978,1373,160250
5,1968,1440,163000
6,1978,1386,158900
7,1996,2260,328000
7,1977,1483,270000
4,1927,756,85000
4,1950,1067,128000
7,1979,1524,260000
6,1978,1981,230000
3,1938,1610,124000
5,1920,835,83000
6,1950,1074,144500
5,1956,1144,129000
4,1947,1531,127000
5,1954,1172,128000
6,2009,1212,186000
7,2009,1508,308030
5,1964,1298,114000
4,1946,930,84900
6,1985,1732,178000
7,1987,1433,270000
6,1993,1802,218000
7,1993,1949,236000
6,1992,996,147000
8,2008,1694,245350
7,2006,1208,206000
7,2009,1226,198900
7,2010,1222,187000
7,1990,3222,320000
6,1900,1445,138500
6,1971,1052,155000
5,1996,965,159000
7,1997,1692,191000
6,1998,1682,200500
5,1977,1026,150000
6,1977,1392,161750
5,1976,894,128200
5,1972,876,127000
8,2003,1978,318000
8,2001,1601,272000
7,2003,1829,237000
7,1997,2098,240000
7,1998,1661,224900
6,2003,848,143750
6,2004,848,143000
8,2003,1668,232000
7,2004,1484,213000
7,2004,1414,185500
3,1945,640,84900
5,1954,992,155891
5,1965,1664,100000
5,1968,1196,144000
4,1948,1120,64000
6,1975,1096,125200
6,1976,1117,107000
4,1958,960,90000
4,2003,1121,140000
6,1945,1487,113000
4,1941,924,80000
5,1957,1526,144500
5,1924,1296,104000
6,1915,1647,128000
3,1914,864,58500
5,1924,1691,127000
6,1939,856,126000
4,1967,2650,160000
5,1931,1666,100000
6,1919,2447,169000
7,1941,2133,257500
5,1950,2177,215000
7,1941,2340,266500
7,1959,1902,335000
7,1994,1652,203135
8,1989,1034,185000
8,1989,1191,162500
7,1959,1801,289000
4,1922,1154,125500
2,1941,540,82000
6,1921,1107,110000
4,1920,1128,68400
4,1900,1178,102776
5,1952,1044,55993
4,1896,952,50138
8,2004,1646,246000
8,1998,1916,254900
6,1977,1285,190000
7,2003,1560,201000
6,1976,1034,169900
6,1976,2048,170000
5,1948,1687,160000
7,2008,1346,220000
7,2009,1214,179781
5,2006,1444,174000
8,2009,1968,269500
7,2002,1894,214900
8,2002,1908,202900
9,2008,2018,378500
5,1965,1264,169000
5,2004,1430,173500
6,1971,1824,139000
5,1999,1344,166500
4,1973,1092,83500
5,1973,945,119500
5,1976,1112,85000
4,1970,1092,76000
4,1972,630,75500
4,1970,1092,88250
4,1972,1092,85500
5,1971,874,130000
5,1962,1188,157900
5,1984,833,149900
5,1985,2432,159000
5,1991,1274,136000
5,1969,1479,161000
8,1994,1803,285000
6,1993,1797,231000
6,1956,882,124500
6,1974,1434,157000
8,1972,2704,345000
6,1997,1608,189500
8,2003,2283,270000
7,1996,1628,189000
9,2006,1746,377500
7,1995,1474,168500
8,2004,2522,375000
8,2000,1659,278000
8,1998,1478,240000
8,1995,1734,239500
7,1998,1382,177500
7,1998,1718,185000
6,1998,1636,191000
6,1993,1571,178000
6,1993,1470,185000
6,1994,1516,181316
6,1993,1190,166000
6,1992,1593,178000
6,1994,1481,174000
6,1992,1167,173000
7,1999,1983,225000
7,1990,1442,180500
8,1984,1360,187500
9,2008,2234,501837
8,2008,2046,372500
7,2005,1530,260000
5,1977,1934,185000
7,1980,2353,260000
6,1979,1586,181000
7,1977,1411,82500
6,1977,1602,215000
7,1978,2050,154000
6,1978,1671,200000
7,1980,2673,249000
7,1980,1472,187500
6,1978,1707,184000
8,1981,2524,278000
7,1978,1601,157000
7,1976,1370,152000
5,1976,1868,197500
7,2003,1884,240900
8,2009,1935,263435
8,2000,1874,220000
8,2002,1811,235000
5,1975,1621,213000
6,1974,1116,167900
7,1975,1193,158000
6,1974,1350,165000
6,1972,2119,158000
5,1974,1792,136000
5,1970,1002,148500
6,1969,1026,156000
5,1970,1180,128000
5,1971,1050,143000
4,1970,864,76500
4,1970,864,120500
4,1970,864,124500
4,1971,864,97000
4,1971,864,130000
6,1973,987,111000
5,1970,1365,125000
5,1971,1302,112000
6,1972,987,97000
6,1972,987,118000
5,1972,1302,119500
6,1976,958,143750
6,1976,1548,146000
6,1976,1456,148500
7,1975,1055,123000
6,1974,1322,147000
6,1977,1456,137900
6,1978,1548,147000
6,1978,1441,148500
6,1978,1456,138000
7,1976,836,128500
5,1967,892,100000
5,1966,1120,148800
10,2006,1718,337500
9,2007,2772,462000
9,2008,3140,485000
10,2008,2402,555000
9,2006,1652,325000
8,2007,1600,256300
8,2008,2042,253293
9,2009,2690,398800
9,2008,2184,335000
9,2008,2020,404000
10,2009,2020,402861
10,2008,2296,451950
10,2007,2674,610000
9,2008,2822,582933
9,2008,1736,360000
8,2004,1782,296000
8,2007,2520,409900
8,2006,1717,255500
9,2008,1743,335000
8,2004,1713,274900
9,2006,1531,300000
9,2008,1808,324000
9,2004,2224,350000
8,2004,1836,280000
8,2003,1629,284000
7,2003,1760,269500
7,2009,1502,233170
10,2003,2392,386250
9,2003,2452,445000
8,2003,2400,290000
8,2006,1606,255900
6,2005,1358,213000
6,2005,1306,196000
6,2005,1306,184500
7,2007,1358,212500
7,2007,1314,230000
10,2004,2492,552000
8,2003,2200,382500
9,2008,1884,320000
9,2008,1456,248500
8,2002,1712,286500
8,2006,1324,254000
7,2003,1405,173000
7,2003,1626,173000
7,2005,1456,184000
6,2005,1490,167800
6,2005,1484,174000
6,2005,1560,174000
7,2007,1555,174000
7,2007,1569,175900
7,2005,1555,192500
7,2005,1504,181000
7,2005,1220,180000
7,2005,1145,160200
7,2004,1432,188500
6,2002,2267,200000
7,2004,1374,170000
7,2004,1630,189500
8,2002,1419,184100
7,2004,1594,195500
7,2003,1489,192000
7,2003,1342,178000
7,2007,1314,207500
7,2000,2256,236000
8,2002,2004,257500
6,2000,2054,244000
7,2004,1374,167000
6,2000,1800,179000
6,2000,1514,190000
7,1999,1430,156000
7,1999,2312,245000
6,1999,1675,181000
7,1999,2060,214000
7,1999,1430,168000
8,1999,2365,337000
8,1995,2794,403000
8,2000,2687,327000
8,1998,2450,340000
8,1998,2612,336000
7,1996,2344,265000
8,1994,2063,315000
7,1993,2646,260000
7,1995,2061,260000
8,1993,2232,263550
8,1994,2448,402000
7,1994,1850,248000
8,2008,1468,244600
8,2008,1696,275000
8,2008,1658,257500
8,2008,1578,287090
8,2007,1702,275500
8,2006,1432,245000
7,2005,1971,253000
9,2005,2490,468000
7,2009,1852,252678
8,2008,1590,210000
6,2009,1218,208300
7,2008,1436,225000
8,2009,1314,229456
7,2008,1402,229800
9,2007,1530,250000
9,2009,1766,370878
8,2006,1448,238500
10,2008,2007,310000
8,2006,1795,270000
8,2005,1953,252000
7,2006,1550,241000
8,2008,1836,264500
7,2006,1662,291000
7,2003,2094,263000
7,2004,1221,185000
7,2003,1553,234500
7,2003,1653,209000
7,2007,1218,159000
7,2006,1141,152000
6,2004,1158,143500
7,2004,1812,193000
8,2004,1512,203000
7,2003,1200,184900
7,2004,1114,159000
5,2004,1114,142000
5,2003,1114,153000
7,2008,1450,224243
7,1996,2122,220000
8,2005,1844,257000
7,2001,1434,189000
6,1992,1730,171500
6,1980,1217,120000
6,1990,1332,145000
7,1994,1540,184000
6,1986,1400,162000
6,1981,1882,160000
4,1950,841,82000
6,1928,784,76000
5,1962,980,110000
5,1977,980,135000
5,1961,864,141000
5,1961,864,122000
5,1965,1020,124100
5,1963,912,129000
5,1961,1144,131400
5,1965,864,62383
5,1962,912,123000
8,1980,2014,275000
7,1991,1755,235000
7,2004,3005,280750
6,2009,1224,164500
6,2009,1224,173733
6,2008,1726,222000
6,2008,1256,195000
6,1999,1471,172500
6,2000,1512,180000
7,1999,1452,156000
8,1999,1739,172500
8,1977,1694,318750
8,1981,1226,211500
7,1981,1740,241600
8,1976,2499,180500
4,1976,1620,150000
6,1968,1556,154000
6,1970,1442,185000
6,1968,1489,185750
7,1973,2090,200000
7,1974,2067,206000
6,1972,1395,162000
6,1967,2640,256900
6,1967,1724,197900
5,1969,1336,163000
6,1969,1216,113000
7,1977,2288,230000
6,1977,1334,167900
7,1998,1680,213250
8,2001,1665,227000
5,1967,864,130000
5,1967,1568,143000
5,1965,925,117500
7,1974,2061,168500
6,1971,1320,172500
6,1967,1342,161500
